1,40,Female,Full-time,Sales,Diploma,1,0,8393.671183,Fashion - Women
2,28,Female,Full-time,Service,Bachelor,2,0,2221.219795,Beauty & Personal Care
3,32,Female,Full-time,Service,Diploma,1,0,3628.458357,Fashion - Women
4,35,Female,Full-time,Admin,Diploma,1,0,2191.616221,Beauty & Personal Care
5,54,Male,Full-time,Tech,Bachelor,2,0,16394.46419,Electronics
6,32,Male,Full-time,Sales,Diploma,1,0,8045.020407,Sports & Outdoors
7,35,Male,Full-time,Service,Bachelor,2,0,8437.360362,Fashion - Men
8,30,Female,Part-time,Service,Diploma,2,0,2587.660625,Beauty & Personal Care
9,20,Male,Student,Education,Secondary,2,0,766.4408725,Books
10,49,Male,Full-time,Admin,Bachelor,5,1,5285.469754,Home & Kitchen
11,35,Male,Full-time,Service,Bachelor,1,0,3189.344664,Fashion - Men
12,51,Male,Full-time,Tech,Master,1,0,20131.46991,Electronics
13,52,Female,Full-time,Tech,Master,1,0,18766.05684,Electronics
14,30,Male,Full-time,Skilled Trades,Bachelor,1,0,10178.90472,Sports & Outdoors
15,43,Male,Self-employed,Skilled Trades,Diploma,1,0,6322.919429,Sports & Outdoors
16,50,Female,Full-time,Sales,Bachelor,3,1,4795.152543,Home & Kitchen
17,27,Male,Full-time,Service,Bachelor,2,0,7014.64737,Fashion - Men
18,41,Male,Full-time,Service,Diploma,3,1,2920.010834,Home & Kitchen
19,52,Female,Self-employed,Tech,Bachelor,2,0,17718.87289,Electronics
20,52,Male,Full-time,Tech,Bachelor,2,0,14508.94232,Electronics
21,28,Female,Full-time,Admin,Bachelor,2,0,7238.552671,Fashion - Women
22,33,Male,Full-time,Service,Diploma,4,1,4430.948948,Home & Kitchen
23,19,Male,Student,Education,Secondary,4,0,784.8372345,Books
24,40,Male,Full-time,Sales,Bachelor,2,0,6926.507898,Fashion - Men
25,55,Male,Retired,Service,Secondary,5,0,4851.389515,Groceries & Gourmet
26,49,Male,Full-time,Tech,Doctorate,1,0,17673.34946,Electronics
27,52,Female,Full-time,Sales,Secondary,5,1,4557.626191,Groceries & Gourmet
28,42,Male,Part-time,Service,Diploma,4,1,6168.886064,Home & Kitchen
29,59,Male,Part-time,Service,Diploma,5,1,2617.51495,Groceries & Gourmet
30,29,Female,Full-time,Service,Diploma,2,0,5732.075908,Fashion - Women
31,19,Male,Student,Education,Diploma,3,0,1055.399884,Books
32,21,Male,Student,Education,Diploma,3,0,345.742365,Books
33,57,Male,Full-time,Tech,Doctorate,1,0,21984.99278,Electronics
34,28,Female,Full-time,Sales,Diploma,2,0,8716.315309,Fashion - Women
35,24,Female,Full-time,Admin,Diploma,2,0,3611.930844,Fashion - Women
36,24,Female,Full-time,Admin,Bachelor,1,0,6665.828812,Fashion - Women
37,35,Male,Full-time,Service,Diploma,1,0,8525.253043,Fashion - Men
38,19,Female,Student,Education,Secondary,4,0,556.182068,Books
39,50,Female,Part-time,Admin,Secondary,5,1,4953.259334,Groceries & Gourmet
40,35,Male,Full-time,Sales,Bachelor,2,0,10107.23895,Sports & Outdoors
41,44,Female,Part-time,Admin,Bachelor,4,1,5350.010351,Home & Kitchen
42,35,Male,Self-employed,Skilled Trades,Bachelor,1,0,6991.173298,Sports & Outdoors
43,24,Male,Full-time,Admin,Bachelor,2,0,5334.067658,Fashion - Men
44,25,Male,Full-time,Sales,Diploma,1,0,8980.879574,Fashion - Men
45,18,Male,Student,Education,Secondary,4,0,1165.230004,Books
46,22,Female,Full-time,Service,Bachelor,1,0,4496.99005,Beauty & Personal Care
47,27,Female,Full-time,Admin,Diploma,1,0,2004.1645,Beauty & Personal Care
48,41,Male,Full-time,Service,Diploma,5,1,4578.488614,Home & Kitchen
49,20,Female,Student,Education,Secondary,2,0,1180.281332,Books
50,44,Male,Full-time,Tech,Bachelor,1,0,12086.49986,Electronics
51,38,Male,Full-time,Service,Bachelor,2,0,8020.10482,Fashion - Men
52,47,Female,Full-time,Sales,Secondary,3,0,2506.751137,Groceries & Gourmet
53,51,Male,Part-time,Sales,Secondary,3,1,4161.993211,Home & Kitchen
54,37,Female,Full-time,Admin,Diploma,4,0,3008.052683,Groceries & Gourmet
55,56,Female,Self-employed,Tech,Bachelor,2,0,16356.31748,Electronics
56,37,Male,Full-time,Service,Diploma,1,0,10830.30771,Sports & Outdoors
57,52,Male,Part-time,Sales,Diploma,3,1,4991.01009,Groceries & Gourmet
58,24,Female,Part-time,Admin,Bachelor,1,0,2382.151256,Beauty & Personal Care
59,18,Male,Student,Education,Secondary,4,0,1195.106963,Books
60,59,Male,Self-employed,Tech,Bachelor,2,0,21611.62962,Electronics
61,31,Female,Part-time,Admin,Bachelor,2,0,2108.079645,Beauty & Personal Care
62,44,Male,Full-time,Skilled Trades,Diploma,2,0,11832.12782,Sports & Outdoors
63,25,Female,Full-time,Service,Diploma,2,0,6092.95995,Fashion - Women
64,33,Female,Full-time,Admin,Bachelor,2,0,3372.669102,Beauty & Personal Care
65,37,Male,Full-time,Admin,Diploma,5,0,2493.548866,Groceries & Gourmet
66,30,Male,Full-time,Admin,Bachelor,3,1,7046.582613,Home & Kitchen
67,20,Female,Full-time,Service,Diploma,2,0,1663.822474,Beauty & Personal Care
68,24,Female,Part-time,Service,Bachelor,2,0,6232.759977,Fashion - Women
69,44,Male,Self-employed,Skilled Trades,Diploma,2,0,6720.303063,Sports & Outdoors
70,19,Female,Student,Education,Secondary,4,0,589.2867207,Books
71,28,Female,Full-time,Service,Bachelor,2,0,2925.725422,Beauty & Personal Care
72,39,Male,Full-time,Admin,Diploma,4,0,4616.990187,Groceries & Gourmet
73,27,Male,Full-time,Skilled Trades,Diploma,2,0,9738.273576,Sports & Outdoors
74,25,Male,Self-employed,Skilled Trades,Bachelor,2,0,6838.74817,Sports & Outdoors
75,40,Female,Part-time,Sales,Bachelor,2,0,7448.678498,Fashion - Women
76,44,Female,Full-time,Tech,Bachelor,2,0,19651.18183,Electronics
77,42,Female,Full-time,Sales,Bachelor,3,1,3524.105642,Home & Kitchen
78,49,Male,Full-time,Admin,Diploma,3,1,7331.151931,Home & Kitchen
79,46,Female,Full-time,Admin,Secondary,5,1,2817.072537,Home & Kitchen
80,34,Male,Full-time,Service,Bachelor,2,0,4061.726044,Fashion - Men
81,39,Female,Full-time,Service,Secondary,5,1,1783.969104,Groceries & Gourmet
82,29,Male,Full-time,Service,Bachelor,2,0,6057.011014,Fashion - Men
83,41,Male,Part-time,Admin,Secondary,5,1,1598.730725,Groceries & Gourmet
84,36,Female,Full-time,Service,Diploma,2,0,7296.21154,Fashion - Women
85,23,Female,Part-time,Service,Bachelor,2,0,7549.392965,Fashion - Women
86,35,Female,Full-time,Admin,Secondary,3,1,7098.912303,Home & Kitchen
87,40,Female,Self-employed,Tech,Master,2,0,13040.03946,Electronics
88,29,Male,Full-time,Admin,Diploma,1,0,8242.981717,Fashion - Men
89,47,Female,Self-employed,Tech,Bachelor,2,0,18930.09023,Electronics
90,35,Male,Full-time,Service,Bachelor,2,0,8853.093563,Sports & Outdoors
91,44,Male,Full-time,Service,Bachelor,1,0,8616.092824,Sports & Outdoors
92,30,Male,Full-time,Sales,Diploma,2,0,3435.261247,Fashion - Men
93,54,Male,Part-time,Service,Diploma,3,0,4384.638515,Groceries & Gourmet
94,22,Female,Part-time,Admin,Diploma,1,0,4256.532384,Beauty & Personal Care
95,39,Male,Full-time,Sales,Diploma,2,0,4671.399179,Fashion - Men
96,21,Female,Student,Education,Diploma,2,0,648.5361951,Books
97,19,Female,Student,Education,Diploma,4,0,921.9112406,Books
98,34,Female,Full-time,Service,Bachelor,1,0,2128.792525,Beauty & Personal Care
99,39,Female,Full-time,Service,Diploma,1,0,8497.530212,Fashion - Women
100,19,Male,Student,Education,Diploma,2,0,666.4569591,Books
